USING TEXT CLASSIFICATION WITH A BAYESIAN CORRECTION FOR ESTIMATING OVERREPORTING IN THE CREDITOR REPORTING SYSTEM ON CLIMATE ADAPTATION FINANCE,Climate Change Adaptation,Climate Change Adaptation,Climate Finance (impact and thematic investments),Climate Finance (impact and thematic investments),2211.16947
"This paper presents the use of conditional variational autoencoders (CVAEs), a type of AI model, to discover low-carbon concrete formulas that meet necessary engineering performance requirements for data centers. The study combines computational predictions, laboratory experiments, and field deployment to reduce the environmental impact of concrete, particularly regarding carbon emissions associated with traditional cement production.","The development of low-carbon concrete directly contributes to mitigating climate change by aiming to reduce carbon emissions from cement production, a major contributor to global greenhouse gas emissions.",,"The paper specifically targets the concrete industry by developing a novel, low-carbon concrete mixture as a component of industrial materials.",,
,Sustainable Finance,N/A,"Environmental, Social and Governance (ESG) and Disclosures",N/A,
,"The paper's methods and outcomes indirectly support sustainable finance by providing a lower-carbon material option for construction that can align with environmental, social, and governance (ESG) criteria in the construction and real estate sectors.","Despite the fact that it might be true, it is not mentioned in the paper.","While not a direct focus, the reduced-carbon concrete supports ESG goals by potentially contributing to lower carbon footprints in new constructions such as data centers.","Despite the fact that it might be true, it is not mentioned in the paper.",
,,,,Renewable Energy and Grid Optimization,
,,,,Energy Efficiency in Buildings,
Consistent Training via Energy-Based GFlowNets for Modeling Discrete Joint Distributions,Climate Change Mitigation,N/A,Industry,N/A,2211.00568
"The paper introduces Joint Energy-Based GFlowNets (JEBGFNs), which extend the capabilities of GFlowNets by combining them with energy-based models to jointly learn multiple variables, such as biological sequences and their properties like antimicrobial activity. It focuses on improving the diversity and adaptability of generated biological sequences for applications like antimicrobial peptide generation. The paper evaluates the performance of these models in generating diverse and high-scoring antimicrobial peptides and in active learning contexts.","Although the primary focus isn't directly on climate or ecology, generating antimicrobial peptides aligns with sustainable development due to its impact on healthcare and reducing the ecological footprint of traditional antimicrobial methods.","This paper is a techincal one. Despite the fact that material science is specified as a potential application, this is not the only one. ""Biological sequence design is a problem of paramount importance for various use cases such as design of new materials, discovering new drugs, and so on..""",The generation of antimicrobial peptides impacts the pharmaceutical industry by potentially providing sustainable and efficient solutions for drug development.,"This paper is a techincal one. Despite the fact that material science is specified as a potential application, this is not the only one. ""Biological sequence design is a problem of paramount importance for various use cases such as design of new materials, discovering new drugs, and so on..""",
,N/A,N/A,N/A,N/A,
,The paper primarily focuses on antimicrobial peptide generation and does not explicitly target secondary climate or ecological sustainable development themes.,,Other sub-categories are not directly addressed in the context of this paper's focus on antimicrobial peptides.,,
Applications of blockchain and artificial intelligence technologies for enabling prosumers in smart grids: A review,Climate Change Mitigation,Climate Change Mitigation,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,2202.10098
"The paper explores the integration of blockchain and artificial intelligence (AI) technologies in smart grids to support prosumers—individuals who both consume and produce energy. It reviews policy designs for carbon pricing and discusses new energy market structures facilitated by blockchain technologies. The paper also explores the use of AI for optimizing power system operations, highlighting how these digital technologies can help in achieving net-zero emissions by enhancing energy efficiency, facilitating decentralized energy trading, and promoting the engagement of prosumers in energy markets.","The paper focuses on methods to increase energy efficiency and incorporate renewable energy through smart grids, aligning with climate change mitigation efforts.",,The focus on integrating prosumers into energy markets using smart grid technology falls under renewable energy and grid optimization.,,
,Climate Science,Climate Science,"Monitoring, Reporting and Verification",N/A,
,"The paper discusses carbon tracing and the mechanisms for pricing carbon emissions, aligning with the goals of climate science.",,"The paper discusses carbon emissions tracing and pricing, which are part of verifying and monitoring carbon impacts.",,
,,,,Climate Finance (impact and thematic investments),
,,,,Greenhouse Gases Measurement and Tracking,
Energy System Digitization in the Era of AI: A Three-Layered Approach towards Carbon Neutrality,Climate Change Mitigation,Climate Change Mitigation,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,2211.04584
"The paper discusses the role of AI in accelerating the transition to a carbon-neutral electricity sector. It presents a three-layered approach encompassing technology, markets, and policy to tailor AI applications for significant impact in the carbon-neutral transition of electric grids.","The paper extensively discusses strategies to accelerate carbon neutrality in the electricity sector, which aligns with mitigating climate change.",,The paper describes the integration of renewable energy and optimizing the grid using AI for carbon neutrality.,,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,There is a significant focus on translating AI for climate predictions and decision making in energy systems.,"The predictions the authors discuss about are not driven by climate features. "" For example, it can be shown that battery cycle life can be predicted by linear regression with properly selected input features"" ",AI's role in predicting and managing energy systems in response to climate change is discussed.,The authors don't focus on climate models and predictions but on a better management of energy to achive greenhouse emissions reduction ,
Optimal Event Monitoring through Internet Mashup over Multivariate Time Series,Climate Change Mitigation,N/A,Renewable Energy and Grid Optimization,N/A,2210.09992
"The paper discusses a Web-Mashup Application Service Framework for multivariate time series analytics (MTSA), designed to enhance event monitoring by combining domain knowledge and formal learning techniques. It uses a case study involving electric power management in a microgrid to illustrate its application.","The framework aims to optimize energy use in microgrids, representing a fundamental aspect of climate change mitigation by improving energy efficiency and potentially integrating renewable energy sources.","Climate-related topics are not central.""Observing behaviors, trends, and patterns on multivariate time series (Bisgaard & Kulahci, 2011; Chatfield, 2001) has been broadly used in various application domains, such as financial markets, medical treatments, economic studies, and electric power management."" / ""The goal of examining those characteristics over multivariate time series on events is to support decision makers, e.g., financial analysts, physicians, and sociologists, to better understand a problem in different perspectives [...]",The application of the framework to the microgrid for event monitoring and load management directly aligns with optimizing grid operations with renewable integration.,"Climate-related topics are not central.""Observing behaviors, trends, and patterns on multivariate time series (Bisgaard & Kulahci, 2011; Chatfield, 2001) has been broadly used in various application domains, such as financial markets, medical treatments, economic studies, and electric power management."" / ""The goal of examining those characteristics over multivariate time series on events is to support decision makers, e.g., financial analysts, physicians, and sociologists, to better understand a problem in different perspectives [...]",
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"The study involves modeling and predictions for energy consumption and demand, akin to aspects found in climate science concerning the modeling of environmental systems and their components.","Climate-related topics are not central.""Observing behaviors, trends, and patterns on multivariate time series (Bisgaard & Kulahci, 2011; Chatfield, 2001) has been broadly used in various application domains, such as financial markets, medical treatments, economic studies, and electric power management."" / ""The goal of examining those characteristics over multivariate time series on events is to support decision makers, e.g., financial analysts, physicians, and sociologists, to better understand a problem in different perspectives [...]","The paper discusses parameter learning and optimization based on multivariate time series analytics, similar to modeling and prediction tasks in climate science.","Climate-related topics are not central.""Observing behaviors, trends, and patterns on multivariate time series (Bisgaard & Kulahci, 2011; Chatfield, 2001) has been broadly used in various application domains, such as financial markets, medical treatments, economic studies, and electric power management."" / ""The goal of examining those characteristics over multivariate time series on events is to support decision makers, e.g., financial analysts, physicians, and sociologists, to better understand a problem in different perspectives [...]",
Reinforcement learning for Energies of the future and carbon neutrality: a Challenge Design,Climate Change Mitigation,Climate Change Mitigation,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,2207.10330
"The paper discusses a challenge design aimed at promoting the development of reinforcement learning (RL) for optimizing power network operations in the context of carbon neutrality by 2050. It focuses on balancing production and consumption, minimizing losses, and integrating renewable energy within the French electricity network, following scenarios set by RTE for a carbon-neutral future. The challenge utilizes a reinforcement learning framework to simulate power network operations, encouraging advancements in AI to support energy transitions.","The focus on optimizing electricity transportation systems, reducing greenhouse gas emissions, and integrating renewable energy primarily aligns with Climate Change Mitigation efforts.",,"The challenge directly targets the integration of renewable energy into the grid and optimization of grid operations, primarily through reinforcement learning techniques.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,The paper indirectly contributes to climate science by providing a realistic simulation framework that can model power system scenarios and predict outcomes related to climate change.,,"The challenge involves creating and simulating scenarios that predict and model the energy landscape under climate-neutral goals, contributing to climate modeling and predictions.",,
,,,,Battery Energy Storage System (BESS),
Sustainability using Renewable Electricity (SuRE) towards NetZero Emissions,Climate Change Mitigation,Climate Change Mitigation,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,2202.13101
"The paper presents a scalable AI-based solution to help organizations increase their renewable electricity consumption, providing energy demand forecasts and carbon offset recommendations to achieve Net-Zero emissions. It focuses on optimizing the use of renewable energy in commercial buildings through predictive analytics.","The primary theme is reducing carbon footprints through increased renewable energy use, aligning with climate change mitigation efforts.",,"The paper discusses optimizing renewable electricity consumption in buildings, a core aspect of grid optimization for renewables.",,
,Pollution,N/A,Air Pollution,N/A,
,"The paper discusses reducing carbon emissions, which is directly related to pollution control.","Despite the fact that it might be true, it is not mentioned in the paper.",Reducing greenhouse gas emissions directly contributes to reducing air pollution.,"Despite the fact that it might be true, it is not mentioned in the paper.",
,,,,Energy Efficiency in Buildings,
Towards Sustainable Artificial Intelligence: An Overview of Environmental Protection Uses and Issues,Climate Change Mitigation,Climate Change Mitigation,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,2212.11738
"This paper explores the dual role of AI in environmental sustainability. It highlights AI's potential in creating sustainable production methods, modeling climate change, and providing solutions for environmental protection in various sectors like smart cities, energy, agriculture, and biodiversity. The paper also addresses the environmental costs associated with AI use, such as energy consumption and carbon emissions. It emphasizes the need for integrating environmental considerations into AI development and examines emerging technologies aimed at reducing AI's ecological footprint.","The paper discusses AI applications in promoting renewable energy, optimizing urban planning, and improving energy efficiency, all aimed at reducing climate change impacts.",,"The paper emphasizes AI's role in improving the performance and efficiency of renewable energy systems, which aligns closely with this sub-category.",,
,Climate Change Adaptation,Climate Change Adaptation,Energy Efficiency in Buildings,Energy Efficiency in Buildings,
,The paper includes discussions on AI's role in predicting and adapting to climate change and natural disasters.,,AI's applications in smart city development and energy efficiency projects in building management systems are discussed in the paper.,,
,Natural Systems Protection,Natural Systems Protection,Biodiversity,N/A,
,"AI applications in preserving biodiversity and ecosystem monitoring are discussed, indicating the paper's coverage of natural systems protection.",,The use of AI in monitoring ecosystems and preserving biodiversity is highlighted in the paper.,"Everything related to the ""Natureal Systems Protections"" category should have been identified by the AI (at least biodiversity, forest management and ocean protection)",
,,,,Relief Efforts,
,,,,Greenhouse Gases Measurement and Tracking,
,,,,Agriculture,
,,,,Food Security,
,,,,Farmers Support,
,,,,Industry,
,,,,Climate Risks Modeling,
,,Climate Science,,Climate Modeling and Predictions,
,,,,Transportation,
,,Pollution,,,
,,"Everything related to the ""Pollution"" category should have been identified by the AI (air pollution, chemicals and waste)",,,
WATCH: Wasserstein Change Point Detection for High-Dimensional Time Series Data,Climate Change Mitigation,N/A,Renewable Energy and Grid Optimization,N/A,2201.07125
"The paper presents WATCH, a Wasserstein distance-based method for change point detection designed specifically for high-dimensional and multivariate time series data. It addresses the limitations of existing methods by offering a robust approach to detect changes in dynamic datasets relevant in areas such as smart grids and traffic flow prediction.","The primary theme is optimization and efficiency in energy systems and grid monitoring, which align with the facets of Climate Change Mitigation, specifically in Renewable Energy and Grid Optimization.","This paper is a technical one. ""In this paper, we address this gap by proposing WATCH, a method based on the Wasserstein distance specifically targeted for high-dimensional time series data"". Climate-related topics are not central. ""An analysis of the existing literature in change point detection reveals a large number of approaches. However, modern real-world applications such as traffic flow prediction, human activity recognition, and renewable energy plants monitoring in smart grids and settings characterized by geo-distributed data are strongly characterized by multivariate and often high-dimensional data""","The methodology is applied to smart grids and renewable energy monitoring, aiming for optimized energy management and efficient resource use, key components of Renewable Energy and Grid Optimization.","This paper is a technical one. ""In this paper, we address this gap by proposing WATCH, a method based on the Wasserstein distance specifically targeted for high-dimensional time series data"". Climate-related topics are not central. ""An analysis of the existing literature in change point detection reveals a large number of approaches. However, modern real-world applications such as traffic flow prediction, human activity recognition, and renewable energy plants monitoring in smart grids and settings characterized by geo-distributed data are strongly characterized by multivariate and often high-dimensional data""",
,N/A,N/A,Transportation,N/A,
,"The focus is predominantly on optimization within energy and transportation systems, fitting entirely within Climate Change Mitigation without branching into distinct sustainable development themes.",,"The application of the method to traffic flow prediction suggests secondary relevance to transportation systems, optimizing the understanding and management of transportation data.","Despite the fact that it might be true, it is not mentioned in the paper.",
,,,,,
,,,,,
A Comparative Study of Machine Learning and Deep Learning Techniques for Prediction of CO2 Emission in Cars,Climate Change Mitigation,Climate Change Mitigation,Transportation,Transportation,2211.08268
"The paper evaluates various machine learning and deep learning techniques to predict CO2 emissions from cars. It highlights the discrepancies in CO2 emissions data supplied by the government and aims to employ AI for accurate prediction of vehicular emissions to inform climate-related policy decisions, like the adoption of electric vehicles. The study compares models such as Random Forest, XGBoost, and Neural Networks, and explores ensemble techniques for improved predictions.","The primary focus of the paper is on reducing CO2 emissions from cars by improving their prediction, which is a critical part of mitigating climate change impacts.",,"The main domain explored in this paper is transportation, specifically targeting CO2 emissions from vehicles, which aligns with the transportation sub-category under Climate Change Mitigation.",,
,Climate Change Adaptation,N/A,,,
,"The prediction models can inform policy adaptations, such as shifting to different vehicle technologies or fuels, to adapt to changing climate conditions.","The aim of the author is to mesure greenhouse gases related to vehicules to tackle/mitigate greenhouses emissions. ""Further, this can be used to foretell the rise in global temperature and to ground crucial policy decisions like the adoption of electric vehicles."". Thus, ""Climate Change Mitigation"" and ""Clime Science"" are the best categories",,,
,,Climate Science,,Greenhouse Gases Measurement and Tracking,
,,,,Climate Modeling and Predictions,
,,,,Renewable Energy and Grid Optimization,
STCGAT: A Spatio-temporal Causal Graph Attention Network for traffic flow prediction in Intelligent Transportation Systems,Climate Change Mitigation,Climate Change Mitigation,Transportation,Transportation,2203.10749
"This paper presents a novel Spatio-temporal Causal Graph Attention Network (STCGAT) designed for traffic flow prediction in Intelligent Transportation Systems (ITS). By integrating next-generation information technologies like AI and IoT, it addresses challenges in capturing dynamic spatial and temporal dependencies in traffic data, aiming to reduce traffic congestion, environmental pollution, and carbon emissions. It introduces mechanisms like node embedding and causal temporal correlation components to improve prediction accuracy, validated by experiments on large traffic datasets.","The central objective of the paper is to mitigate climate change impacts through improved traffic flow prediction, reducing traffic congestion, and thereby decreasing pollution and emissions.",,The primary sub-category is 'Transportation' because the research focuses on improving transportation efficiency and reducing emissions through predictive modeling of traffic flows.,,
,Climate Change Adaptation,N/A,Climate Risks Modeling,N/A,
,The development of Intelligent Transportation Systems (ITS) and smart cities can also be seen as an effort to adapt urban environments to the challenges posed by increasing urbanization and climate changes.,"Despite the fact that it might be true, it is not mentioned in the paper.","Though not directly stated, improving transportation systems through predictive models aligns with strategies to manage and mitigate risks associated with climate change and urban congestion.","Despite the fact that it might be true, it is not mentioned in the paper.",
,,,,,
,,,,,
An Empirical Analysis of AI Contributions to Sustainable Cities (SDG11),Climate Change Mitigation,Climate Change Mitigation,Waste,Waste,2202.02879
"This paper examines how AI systems contribute to advancing Sustainable Development Goal 11, which focuses on creating inclusive, safe, resilient, and sustainable cities. The study uses empirical analysis to identify AI's roles in waste management, air quality monitoring, disaster response, and transportation management, while emphasizing the potential of citizen participation in advancing sustainable urban development.","The paper's focus on AI's role in sustainable urban management, such as waste management and air quality monitoring, aligns with Climate Change Mitigation strategies.",,Given the emphasis on waste management as a key application of AI in sustainable urban development.,,
,Climate Change Adaptation,Climate Change Adaptation,Air Pollution,Air Pollution,
,The discussion on using AI in disaster response management points towards adaptation strategies against climate risks in urban settings.,,"Air quality monitoring, as discussed in the paper, directly relates to managing air pollution in urban settings using AI.",,
,Climate Science,N/A,Climate Risks Modeling,N/A,
,AI's application in air quality monitoring relates to tracking and understanding climate and air pollution science within urban environments.,,"The paper examines AI applications in disaster response management, which falls under climate risk modeling as it addresses risk management in cities.",,
,,Pollution,,,
,,,,Transportation,
,,,,Relief Efforts,
,,,,,
IoT-based Route Recommendation for an Intelligent Waste Management System,Climate Change Mitigation,Climate Change Mitigation,Waste,Waste,2201.00180
"The paper explores the use of IoT and AI-based approaches to enhance waste management in smart cities by optimizing waste collection routes. The proposed system uses embedded sensors to monitor waste bins and employs AI-based models to recommend efficient collection routes, aiming to reduce costs and improve sustainability.","The paper primarily addresses waste management optimization, which is a component of reducing greenhouse gas emissions and resource wastage associated with inefficient collection routes.",,"The specific focus of the paper is on waste management systems and how IoT and AI can optimize the process of waste collection, directly impacting sustainability.",,
,Pollution,N/A,Air Pollution,N/A,
,Optimizing waste collection processes reduces air pollution associated with vehicle emissions during collections.,"This is mentioned by the authors in the ""Related Work"" section. This is not part of their work (check references 18 and 20 if needed) ","By optimizing waste collection routes, the system can help reduce vehicle emissions.","This is mentioned by the authors in the ""Related Work"" section. This is not part of their work (check references 18 and 20 if needed) ",
Modeling Oceanic Variables with Dynamic Graph Neural Networks,Climate Science,Climate Science,Climate Modeling and Predictions,Climate Modeling and Predictions,2206.12746
"The paper presents a data-driven method to predict oceanic environmental variables like current velocity and sea surface height using advanced machine learning models, specifically dynamic Graph Neural Networks (GNNs). The study aims to model the Santos-Sao Vicente-Bertioga Estuarine System and compares its results with existing physical simulation models, demonstrating improved predictive performance in modeling oceanic dynamics.",The focus of the paper on predicting oceanic variables through modeling and machine learning contributes directly to climate understanding and prediction efforts.,,"The paper's methodology focuses on forecasting oceanic variables, aligning with climate modeling and prediction efforts.",,
,Natural Systems Protection,N/A,Ocean Protection,N/A,
,The modeling of ocean dynamics contributes indirectly to protecting ocean systems by enhancing the prediction and understanding of phenomena affecting them.,"The authors don't focus on ""Natural Systems Protection"" and talk about ocean through a social and economic angle. ""Being able to understand and predict how the ocean dynamics works is a major concern for coastal countries both economically and socially."". ""They describe a data-driven method to predict environmental variables such as current velocity and sea surface height in the region of Santos-Sao VicenteBertioga Estuarine System in the southeastern coast of Brazil."" in order to ""[...] to anticipate extreme phenomena, for instance storm surges, which can cause transportation delays and accidents, when forecasting current velocity and sea surface height.""","While not directly stated, the application of improved oceanic predictions could support efforts in understanding and protecting ocean environments.","The authors don't focus on ""Natural Systems Protection"" and talk about ocean through a social and economic angle. ""Being able to understand and predict how the ocean dynamics works is a major concern for coastal countries both economically and socially."". ""They describe a data-driven method to predict environmental variables such as current velocity and sea surface height in the region of Santos-Sao VicenteBertioga Estuarine System in the southeastern coast of Brazil."" in order to ""[...] to anticipate extreme phenomena, for instance storm surges, which can cause transportation delays and accidents, when forecasting current velocity and sea surface height.""",
A Constraint Programming Approach to Weighted Isomorphic Mapping of Fragment-based Shape Signatures,N/A,N/A,N/A,N/A,2112.10892
"This paper presents a constraint programming approach to solving the weighted isomorphic mapping problem in fragment-based shape signatures for computer-aided drug design. The work is centered around improving methods to map chemical structure fragments in large databases efficiently without involving the whole chemical structure, using constraint solvers to optimize and diversify solution paths.","The research does not address any climate change mitigation, adaptation, or ecological protection directly. It is centered on drug discovery and optimization techniques within computational chemistry, which does not fall within predefined sustainable development categories related to climate or ecology.",,"The paper focuses on computational methods in drug design, which does not relate to any specific sub-category under the sustainable development categories related to climate or ecology.",,
,N/A,N/A,N/A,N/A,
,"Since the primary focus does not align with any climate or ecologically-related sustainable development category, there are no applicable secondary categories either.",,There are no secondary sub-categories applicable as the paper's focus is not related to sustainable development themes.,,
A Multi-Domain VNE Algorithm based on Load Balancing in the IoT networks,N/A,N/A,N/A,N/A,2202.05667
"The paper proposes a virtual network embedding (VNE) strategy utilizing a hybrid genetic algorithm to address network virtualization issues in the Internet of Things (IoT) environments. The strategy aims to enhance flexibility and performance in heterogeneous networks with large traffic. It introduces dynamic crossover probability, pheromone-based mutation gene selection, and a weight update mechanism focused on load balancing. The approach targets improvements in mapping cost-benefit ratio, acceptance rate, and load balancing within IoT networks using hybrid algorithms combining genetic and ant colony techniques. Simulation results are provided to evaluate performance.","The paper does not directly address any Climate or Ecologically-Related Sustainable Development goals or categories. Its primary focus is on network algorithms and performance in IoT settings, without a clear link to sustainability themes.",,The subject matter does not align with any specific Ecologically-Related Sustainable Development sub-categories listed.,,
,N/A,N/A,N/A,N/A,
,No secondary link to Climate or Ecologically-Related Sustainable Development is evident in this paper. The content is focused more on technical network optimization rather than environmental or sustainability improvement.,,Secondary sub-categories are not applicable as the paper lacks significant relevance to any listed sustainable development areas.,,
A Multi-Task Benchmark for Korean Legal Language Understanding and Judgement Prediction,N/A,N/A,N/A,N/A,2206.05224
"The paper presents the first large-scale Korean legal AI benchmark, LB OX O PEN, consisting of datasets for legal corpus, classification tasks, judgement prediction tasks, and summarization tasks. It discusses applications of AI in the legal domain and the need for large datasets in Korean legal language processing.",The primary focus of the paper is on legal AI and not on climate or ecological sustainability.,,The paper does not fit into any of the predefined climate or ecologically-related sub-categories.,,
,N/A,N/A,N/A,N/A,
,There are no secondary themes related to Climate or Ecologically-Related Sustainable Development.,,No secondary sub-categories pertaining to climate or ecological sustainability are evident in the paper.,,
Calibration and generalizability of probabilistic models on low-data chemical datasets with DIONYSUS,N/A,N/A,N/A,N/A,2212.01574
"The paper explores the calibration and generalizability of probabilistic machine learning models on small chemical datasets. It assesses molecular representations and models for predicting molecular properties and uncertainties across various tasks. Two experiments—Bayesian optimization guided molecular design and inference on out-of-distribution data via cluster splits—are introduced to evaluate model performance. Insights into model and feature choice for modeling small chemical datasets are presented, and the DIONYSUS software package is introduced to aid in analysis and extension to new datasets.",The paper does not address climate or ecologically-related sustainable development objectives directly. It focuses on probabilistic models and machine learning techniques applicable to chemical datasets without specific ties to ecological or climate issues.,,The focus is on general machine learning and modeling techniques rather than a specific sub-category related to climate or ecological sustainability.,,
,N/A,N/A,N/A,N/A,
,There are no secondary themes explicitly related to Climate or Ecologically-Related Sustainable Development in the paper.,,No specific sub-categories within Climate or Ecologically-Related Sustainable Development are discussed.,,
,,,,,
,,,,,
CoSP: Co-supervised pretraining of pocket and ligand,N/A,N/A,N/A,N/A,2206.12241
"This paper introduces the CoSP framework for co-supervised pretraining of 3D pocket and ligand representations. The framework models both chemical features and geometric features of pockets and ligands using a gated geometric message passing layer. The authors propose a contrastive loss and chemical similarity-enhanced negative sampling strategy to improve the pretraining. Extensive experiments demonstrate competitive results in tasks such as pocket matching, molecule property predictions, and virtual screening, indicating the potential of CoSP for AI-driven drug discovery.",The primary focus on drug discovery and molecular interactions does not directly fall within any climate or ecologically-related sustainable development categories listed.,,There is no applicable sub-category related to climate or ecological sustainability since the paper focuses on drug discovery methodology development.,,
,N/A,N/A,N/A,N/A,
,"Since the focus is on AI for drug discovery, there are no secondary climate or ecologically-related sustainable categories applicable here.",,The paper's focus does not align with any subcategories of climate or ecologically-related sustainable development.,,
DATA SET CREATION AND EMPIRICAL ANALYSIS FOR DETECTING SIGNS OF DEPRESSION FROM SOCIAL MEDIA POSTINGS,N/A,N/A,N/A,N/A,2202.03047
"This paper presents a study focused on creating a data set that detects signs of depression using social media postings. The authors developed a benchmark data set and employed various models to detect different levels of depression – 'not depressed', 'moderately depressed', and 'severely depressed'. The study also discusses the empirical analysis of traditional learning algorithms applied to the data set and highlights improvements through data augmentation techniques.","The paper is centered on mental health and creating a data set for depression analysis, which does not align with the predefined categories related to climate or ecological sustainability.",,No specific sub-categories related to climate or ecological sustainability apply to this paper as it is not within the scope of the given categories.,,
,N/A,N/A,N/A,N/A,
,"The paper does not address any secondary themes related to climate or ecologically-related sustainable development, focusing solely on depression detection from social media.",,The paper content does not extend into sub-categories relevant to climate or ecological sustainability as it focuses on mental health data analysis.,,
DeepFT: Fault-Tolerant Edge Computing using a Self-Supervised Deep Surrogate Model,N/A,N/A,N/A,N/A,2212.01302
This paper discusses a fault-tolerance method for edge computing called DeepFT. It utilizes a self-supervised learning approach to predict and remediate faults in edge computing environments by using a deep surrogate model. This method is intended to overcome the limitations of traditional supervised learning by adapting to non-stationary workloads and enhancing reliability in edge computing.,"The paper does not focus on Climate or Ecologically-Related Sustainable Development but rather on improving fault tolerance in edge computing, which isn't directly related to sustainable development goals outlined.",,"The sub-category does not apply as the main focus of the paper is on technical advancements in fault-tolerance in edge computing, not on sustainability.",,
,N/A,N/A,N/A,N/A,
,"As the primary theme is not related to sustainable development, there are no secondary categories applicable.",,There are no sub-categories applicable since the focus is not related to climate or ecological challenges.,,
Do not Waste Money on Advertising Spend: Bid Recommendation via Concavity Changes,N/A,N/A,N/A,N/A,2212.13923
The paper discusses a bid recommendation scenario for advertisers to achieve optimal returns on investment by identifying inflection points in click prediction curves. It applies parametric learning methods to solve optimization problems and demonstrates performance gains in business metrics.,"The paper is focused on computational advertising and optimizing bids for advertisers, with no direct connection to Climate or Ecologically-Related Sustainable Development.",,The study does not align with any sub-category of Climate or Ecologically-Related Sustainable Development. Its focus remains on advertising and economic efficiency.,,
,N/A,N/A,N/A,N/A,
,No secondary themes related to Climate or Ecologically-Related Sustainable Development are addressed in the paper.,,"The contents are exclusively about advertising economics, and no secondary sub-categories of sustainable development are covered.",,
Effective Gesture-Based Framework for Capturing User Input,N/A,N/A,N/A,N/A,2208.00913
"The paper discusses a gesture-based framework using image processing and AI for virtual keyboards and mice, aiming to reduce peripheral costs and electronic waste.",The central theme of the paper is not directly related to climate or ecologically-related sustainable development but rather focuses on technological development in human-computer interaction.,,The paper does not belong to any specific sub-category related to climate or ecologically-related sustainable development as per the provided list.,,
,Pollution,Pollution,Waste,Waste,
,"The paper discusses the reduction of electronic waste, which falls under the category of Pollution as it relates to waste management and reduction.","Clime-related topics are not central. There are no other mention ""This system has a direct benefit of reducing peripheral cost, reducing electronics waste generated due to external devices and providing accessibility to people who cannot use the traditional keyboard and mouse.""The main motivation to build this Artificial keyboard is to reduce the electronic waste and to produce cost effective machines that still perform as efficiently as traditional systems.""","Reduction of electronic waste through the development of virtual input devices addresses waste management concerns, fitting the sub-category of Waste under Pollution.","Clime-related topics are not central. There are no other mention ""This system has a direct benefit of reducing peripheral cost, reducing electronics waste generated due to external devices and providing accessibility to people who cannot use the traditional keyboard and mouse.""The main motivation to build this Artificial keyboard is to reduce the electronic waste and to produce cost effective machines that still perform as efficiently as traditional systems.""",
Enabling risk-aware Reinforcement Learning for medical interventions through uncertainty decomposition,N/A,N/A,N/A,N/A,2109.07827
"The paper discusses the use of Reinforcement Learning (RL) in high-risk environments, particularly in healthcare, to improve decision-making for medical interventions. It introduces a distributional approach to RL (UA-DQN), which decomposes aleatoric and epistemic uncertainties to enhance safety and trust in RL's clinical application as a Clinical Decision Support System (CDSS) in critical care.",The paper does not address any specific themes or issues directly related to climate change or ecological sustainability goals. Its focus remains on improving decision-making capabilities in medical and other high-risk domains through decomposition of uncertainties.,,No specific climate or ecological sub-category aligns with the paper's content _  it remains focused on healthcare decision-making and uncertainty management.,,
,N/A,N/A,N/A,N/A,
,"While the paper contributes to technological advancements in healthcare decision-making, it does not directly relate to any secondary climate or ecological sustainability themes.",,"Similar to the primary sub-category, there is no content that aligns with climate or ecological sub-categories.",,
GRAPH-GUIDED NETWORK FOR IRREGULARLY SAMPLED MULTIVARIATE TIME SERIES,N/A,N/A,N/A,N/A,2110.05357
"The paper introduces RAINdrop, a novel graph neural network designed for irregularly sampled multivariate time series. It focuses on embedding and learning the dynamics of sensor data purely from observational data. The network is used to classify time series and interpret temporal dynamics, outperforming state-of-the-art methods, particularly in healthcare and human activity datasets.","The central theme of the paper is not directly related to Climate or Ecologically-Related Sustainable Development, as its applications are more technical and focused on healthcare and human activity datasets.",,"The paper does not focus on any specific sub-category related to Climate or Ecologically-Related Sustainable Development but rather a technical method applicable across various fields, primarily healthcare.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
